Player,Position,College,Teams
Dooley Nick,LS,Texas-El Paso,--
Doornink Dan,RB,Washington State,"1978 NYG, 1979-1985 Sea"
Dora Vontarrius,DE,Louisiana Tech,"2016 Den, 2018-2019 Ari"
Doran Jim,OE/DE,Iowa State,"1951-1959 Det, 1960-1961 Dal"
Dorbeck Drake,OT,Southern Mississippi,--
Dorcin Willy,DB,Shorter,--
Dorenbos Jon,LS,Texas-El Paso,"2003-2004 Buf, 2005-2006 Ten, 2006-2016 Phi"
Dorfman Art,C,Boston University,1929 Buf
Dorka Nick,K,William & Mary,--
Dorleant Makinton,DB,Northern Iowa,2016 GB
Dormady Quinten,QB,Central Michigan,--
Dorn Myles,DB,North Carolina,"2021-2022 Min, 2023 Car"
Dorn Torin,DB,North Carolina,"1990-1993 LAR, 1995-1996 Stl"
Dornbrook Thom,OG,Kentucky,"1979 Pit, 1980 Mia"
Dornevil Jules,DB,Florida A&M,--
Dorney Keith,OT,Penn State,1979-1987 Det
Dorning Dale,DE,Oregon,1987 Sea
Dorow Al,QB,Michigan State,"1954-1956 Was, 1957 Phi, 1960-1961 NYT, 1962 Buf"
Dorris Andy,DE,New Mexico State,"1973 Stl, 1973-1976 NO, 1977 Sea, 1977-1981 Hou"
Dorris Derek,WR,Texas Tech,2002 NYG
Dorsch Travis,K,Purdue,"2002 Cin, NFLE: 2005-2006 Rhe"
Dorsett Anthony,DB,Pittsburgh,"1996 Hou, 1997-1999 Ten, 2000-2003 Oak"
Dorsett Matthew,DB,Southern,1995 GB
Dorsett Phillip,WR,Miami,"2015-2016 Ind, 2017-2019 NE, 2021 Jax, 2021 Sea, 2021-2022 Hou, 2023 LV"
Dorsett Tony,RB,Pittsburgh,"1977-1987 Dal, 1988 Den"
Dorsey Char-ron,OT,Florida State,"2001-2002 Dal, 2002 Hou"
Dorsey Dean,K,Toronto (Canada),"1988 Phi, 1988 GB"
Dorsey DeDe,RB,Lindenwood,"2006 Ind, 2007-2008 Cin"
Dorsey Dick,WR,Oklahoma,1962 Oak
Dorsey Dominique,RB,Nevada-Las Vegas,--
Dorsey Eric,DE,Notre Dame,1986-1992 NYG
Dorsey Glenn,DE,Louisiana State,"2008-2012 KC, 2013,2015-2016 SF"
Dorsey John,LB,Connecticut,1984-1988 GB
Dorsey Ken,QB,Miami,"2003-2005 SF, 2006-2008 Cle"
Dorsey Kevin,WR,Maryland,2013-2014 GB
Dorsey Khalil,DB,Northern Arizona,"2020 Bal, 2023 Det"
Dorsey Larry,WR,Tennessee State,"1976-1977 SD, 1978 KC"
Dorsey Nat,OT,Georgia Tech,"2004 Min, 2005-2007 Cle"
Dorsey Nate,DE,Mississippi Valley State,1973 NE
Dorsey Quinn,DE,Oregon,--
Dorsey Tre'Quan,OL,St. Francis (PA),--
Dorsey Wayne,DE,Mississippi,--
Dortch Greg,WR,Wake Forest,"2019 Car, 2021-2023 Ari"
Dorton Malik,DL,Southern California,--
Doss Keelan,WR,California-Davis,"2019 Oak, 2020 LV, 2023 LAC"
Doss Lee,WR,Southern,--
Doss Lorenzo,DB,Tulane,"2015-2017 Den, 2018 Car"
Doss Mike,DB,Ohio State,"2003-2006 Ind, 2007 Min, 2008 Cin"
Doss Noble,RB,Texas,1947-1948 Phi
Doss Reggie,DE,Hampton,1978-1987 LA
Doss Tandon,WR,Indiana,2011-2013 Bal
Doss Tykeem,OG,Southern Mississippi,2023 Bal
Dotson Al,DT,Grambling,"1965 KC, 1966 Mia, 1968-1970 Oak"
Dotson Demar,OT,Southern Mississippi,"2009,2011-2019 TB, 2020 Den"
Dotson Dewayne,RB,Mississippi,"1995,1997 Mia"
Dotson Earl,OT,Texas A&M-Kingsville,1993-2002 GB
Dotson Elijah,RB,Northern Colorado,2023 LAC
Dotson Jahan,WR,Penn State,2022-2023 Was
Dotson Jomon,DB,Nevada,--
Dotson Kevin,OG,Louisiana-Lafayette,2020-2023 Pit
Dotson Lionel,DE,Arizona,"2008-2010 Mia, 2011 Buf"
Dotson Meiko,DB,Florida State,--
Dotson Santana,DT,Baylor,"1992-1995 TB, 1996-2001 GB"
Dottley John,RB,Mississippi,1951-1953 Chi
Doty Jon,OT,Kansas State,NFLE: 2006 Col
Doubiago Dan,OT,Utah,1987 KC
Doubs Romeo,WR,Nevada,2022-2023 GB
Doucet Early,WR,Louisiana State,2008-2012 Ari
Douds Forrest,OT/OG,Washington & Jefferson,"1930 Prov, 1930-1931 Port, 1932 ChiC, 1933-1934 Pit"
Dougherty Bob,LB,Kentucky,"1957 LA, 1958 Pit, 1960-1963 Oak"
Dougherty Phil,C,Santa Clara,1938 ChiC
Dougherty Robert,QB,Boston University,NFLE: 1997 Bar
Dougherty Ryan,P,East Carolina,--
Doughlin Tristan,DB,Guelph (Canada),--
Doughlin Tristan,DB,Guelph (Canada),--
Doughty Brandon,QB,Western Kentucky,--
Doughty Glenn,WR,Michigan,1972-1979 Bal
Doughty Jake,LB,Utah State,--
Doughty Reed,DB,Northern Colorado,2006-2013 Was
Doughty Stanley,DT,South Carolina,--
Douglas Ben,RB,Grinnell,1933 Bkn
Douglas Bob,RB,Kansas State,1938 Pit
Douglas Chris,RB,Duke,NFLE: 2005 Ham
Douglas Cody,OG,Tennessee,NFLE: 2007 Col
Douglas Dameane,WR,California,1999-2002 Phi
Douglas David,OT,Tennessee,"1986-1988 Cin, 1989-1990 NE"
Douglas David,WR,Arizona,2012 TB
Douglas Demario,WR,Liberty,2023 NE
Douglas Derrick,RB,Louisiana Tech,1991 Cle
Douglas Dominic,LB,Mississippi State,2009 Stl
Douglas Donald,DB,Houston,NFLE: 1995-1996 Rhe
Douglas Elroy,DB,Missouri Western State,--
Douglas Everett,OT,Florida,1953 NYG
Douglas Freddie,WR,Arkansas,1976 TB
Douglas Harry,WR,Louisville,"2008,2010-2014 Atl, 2015-2017 Ten"
Douglas Hugh,DE,Central State,"1995-1997 NYJ, 1998-2002 Phi, 2003 Jax, 2004 Phi"
Douglas Jamil,OG,Arizona State,"2015-2016 Mia, 2017 Atl, 2019-2020 Ten, 2021 Buf, 2021 Was"
Douglas Jay,C,Memphis,1973-1974 SD
Douglas John,LB,Missouri,1970-1973 NYG
Douglas John,DB,Texas Southern,"1967-1968 NO, 1969 Hou"
Douglas Leland,WR,Baylor,1987 Mia
Douglas Marques,DE,Howard,"2000 NO, 2001-2004 Bal, 2005-2007 SF, 2008 Bal, 2009 NYJ, 2010 Ten, NFLE: 2000 Rhe"
Douglas Merrill,RB,Utah,"1958-1960 Chi, 1961 Dal, 1962 Phi"
Douglas Mike,TE,Massachusetts,NFLE: 2007 Col
Douglas Omar,WR,Minnesota,1994-1996 NYG
Douglas Otis,OT,William & Mary,1946-1949 Phi
Douglas Rasul,DB,West Virginia,"2017-2019 Phi, 2020 Car, 2021-2023 GB"
Douglas Robert,RB,Memphis,2007 NYG
Douglas Rome,OT,Southern California,"NFLE: 2000 Ber, 2000 Sco, 2001 Ber, 2001 Bar"
Douglas Sean,P,Washington,--
Douglas Steve,OG/OT,--,1926 Mil
Douglas Tramon,WR,Grambling,--
Douglass Bobby,QB,Kansas,"1969-1975 Chi, 1975 SD, 1976-1977 NO, 1978 GB"
Douglass Joe,WR,Montana,NFLE: 1998-1999 Ams
Douglass Leo,RB,Vermont,"1926 Brk, 1926 Fra"
Douglass Maurice,DB,Kentucky,"1986-1994 Chi, 1995-1996 NYG"
Douglass Mike,LB,San Diego State,"1978-1985 GB, 1986 SD"
Douglass Parker,K,South Dakota State,--
Douse Jalene,DB,Florida A&M,--
Douthard Ty,RB,Illinois,1997 Cin
Douthitt Earl,DB,Iowa,1975 Chi
Douzable Leger,DE,Central Florida,"2008 NYG, 2009 Stl, 2010-2011 Jax, 2012 Ten, 2013-2015 NYJ, 2016 Buf, 2017 SF"
Dove Bob,DE/OE,Notre Dame,"1948-1953 ChiC, 1953-1954 Det"
Dove Eddie,DB,Colorado,"1959-1963 SF, 1963 NYG"
Dove Jerome,DB,Colorado State,1977-1980 SD
Dove Wes,DE,Syracuse,1987 Sea
Dow Harley,OG/OT,San Jose State,1950 SF
Dow Ken,RB/DB,Oregon State,1941 Was
Dow Woody,RB/BB,West Texas A&M,1938-1940 Phi
Dowd Jerry,C/LB,St. Mary's (CA),1939 Cle
Dowda Harry,DB/RB,Wake Forest,"1949-1953 Was, 1954-1955 Phi"
Dowdell Darren,TE,East Carolina,--
Dowdell Marcus,WR,Tennessee State,"1992-1993 NO, 1995-1996 Ari"
Dowden Corey,DB,Tulane,"1996 GB, 1996 Bal, 1997 Chi"
Dowden Steve,OT,Baylor,1952 GB
Dowdle Mike,LB,Texas,"1960-1962 Dal, 1963-1966 SF"
Dowdle Rico,RB,South Carolina,"2020,2022-2023 Dal"
Dowell Andrew,LB,Michigan State,2020-2023 NO
Dowell Chandler,LS,Southern Utah,--
Dowell Colton,WR,Tennessee-Martin,2023 Ten
Dowell Mule,RB/DB,Texas Tech,1935-1936 ChiC
Dowler Boyd,WR/DE,Colorado,"1959-1969 GB, 1971 Was"
Dowler Tommy,RB,Colgate,1931 Bkn
Dowling Brian,QB,Yale,"1972-1973 NE, 1977 GB"
Dowling Jameel,DB,Hawaii,--
Dowling Jonathan,DB,Western Kentucky,2014 Oak
Dowling Pat,OE,DePaul,1929 ChiC
Dowling Ras-I,DB,Virginia,"2011-2012 NE, 2014 Oak"
Dowling Sean,OG,C.W. Post,1987 Buf
Downer Cole,TE,Clemson,NFLE: 2007 Ams
Downey Da'Sean,DE,Massachusetts,--
Downey Pat,C,New Hampshire,NFLE: 2002 Fra
Downing Eric,DT,Syracuse,"2001-2003 KC, 2004 SD"
Downing T.J.,OG,Ohio State,--
Downing Walt,OG,Michigan,1978-1983 SF
Downs Bob,OG,Southern California,1951 SF
Downs Chris,RB,Maryland,NFLE: 2004 Ams
Downs Devante,LB,California,"2018-2019 Min, 2019-2020 NYG"
Downs Gary,RB,North Carolina State,"1994 NYG, 1995 Den, 1996 NYG, 1997-1998,2000 Atl"
Downs Josh,WR,North Carolina,2023 Ind
Downs Michael,DB,Rice,"1981-1988 Dal, 1989 Pho"
Downwind Xavier,OT/OE,Carlisle,1922-1923 Oor
Dowrick Perry,RB,--,1921 Was
Dowtin Marcus,LB,North Alabama,"2012 NYJ, 2013 Buf, 2013 NYG"
Doxtater Sage,OT,New Mexico State,--
Doxzon Todd,QB,Iowa State,"1998 Mia, NFLE: 1998-1999 Ams"
Doyle Derrick,WR,Northwestern State,--
Doyle Dick,DB,Ohio State,"1955 Pit, 1960 Den"
Doyle Ed,OG,Canisius,1927 Buf
Doyle Eddie,OE,Army,"1924 Fra, 1925 Pot"
Doyle Jack,TE,Western Kentucky,2013-2021 Ind
Doyle Joe,P,Memphis,--
Doyle Pat,OG,Washington,NFLE: 1991 Mtl
Doyle Philip,K,Alabama,NFLE: 1992 Bir
Doyle Shane,DE,Washington State,NFLE: 1999 Ams
Doyle Ted,OT/OG,Nebraska,"1938-1942 Pit, 1943 PhPt, 1944 ChPi, 1945 Pit"
Doyle Tommy,OT,Miami (OH),2021-2023 Buf
Dozier Branden,LB,North Carolina-Charlotte,--
Dozier Cornelius,DB,Southern Methodist,1987 KC
Dozier D.J.,RB,Penn State,"1987-1990 Min, 1991 Det"
Dozier Dakota,OG,Furman,"2015-2018 NYJ, 2019-2021 Min"
Dozier Joey,RB,New Mexico State,NFLE: 2002 Fra
Dozier Ukee,DB,Minnesota,2005 Min
Draft Chris,LB,Stanford,"1998 Chi, 1999 SF, 2000-2004 Atl, 2005-2006 Car, 2007-2008 Stl, 2009 Buf"
Dragon Oscar,RB,Arizona State,1972 SD
Dragos Scott,RB,Boston College,"2000-2001 Chi, NFLE: 1999 Bar"
Draguicevich Oscar,P,Washington State,--
Draheim Tommie,C,San Diego State,--
Drake Adam,WR,Eastern Illinois,--
Drake Bill,DB,Oregon,1973-1974 LA
Drake Charles,DB,Michigan,NFLE: 2004 Rhe
Drake Jerry,DT,Hastings,"1995-1996,1998-1999 Ari, NFLE: 1996 Lon"
Drake Joe,DT,Arizona,"1985 Phi, 1987 SF"
Drake Johnny,RB/DB,Purdue,1937-1941 Cle
Drake Kenyan,RB,Alabama,"2016-2019 Mia, 2019-2020 Ari, 2021 LV, 2022 Bal"
Drake Kevin,WR,Alabama-Birmingham,"NFLE: 1999 Sco, 2000 Rhe"
Drake T.C.,TE,Kentucky,--
Drake Troy,OT,Indiana,"1995-1997 Phi, 1998 Was"
Drakeford Darin,LB,Maryland,--
Drakeford Tyronne,DB,Virginia Tech,"1994-1997 SF, 1998-1999 NO, 2000 Was, 2001 SF"
Drame Kader,DE,Syracuse,--
Drane Dwight,DB,Oklahoma,1986-1991 Buf
Drango Spencer,OT,Baylor,"2016-2017 Cle, 2019 LAC"
Draper Shawn,OT,Alabama,NFLE: 2005 Rhe
Draughn Armagedon,DB,Tuskegee,--
Draughn Shaun,RB,North Carolina,"2011-2012 KC, 2013 Bal, 2014 Chi, 2014 SD, 2014-2015 Cle, 2015-2016 SF"
Draveling Leo,OT,Michigan,1933 Cin
Dray Jim,TE,Stanford,"2010-2013 Ari, 2014-2015 Cle, 2016 Buf, 2016 SF, 2017 Ari"
Drayden Josh,DB,California,--
Drayer Clarence,OT,Illinois,1925 Day
Drayton Troy,TE,Penn State,"1993-1994 LA, 1995-1996 Stl, 1996-1999 Mia, 2000 KC"
Drazenovich Chuck,LB/RB,Penn State,1950-1959 Was
Drechsler Dave,OG,North Carolina,1983-1984 GB
Dreessen Joel,TE,Colorado State,"2005 NYJ, 2007-2011 Hou, 2012-2013 Den"
Dreher Fred,OE,Denver,1938 Chi
Dreisbach Scott,QB,Michigan,"2000 Oak, NFLE: 2002 Sco"
Drescher Justin,LS,Colorado,"2010-2016 NO, 2017 Ari"
Dressel Chris,TE,Stanford,"1983-1986 Hou, 1987 SF, 1989 KC, 1989-1991 NYJ, 1992 SF"
Dressen Chuck,BB/RB,--,"1920 Dec, 1922-1923 Rac"
Dressler Doug,RB,Cal State-Chico,"1970-1972,1974 Cin, 1975 NE, 1975 KC"
Dressler Tyler,LB,Richmond,--
Dressler Weston,WR,North Dakota,--
Drew Damariay,DB,California,--
Drew Davon,TE,East Carolina,2009-2010 Bal
Drew John,DT,North Carolina Central,--
Drew Randee,DB,Northern Illinois,NFLE: 2005 Col
Drew Ray,DE,Georgia,--
Drewrey Willie,WR,West Virginia,"1985-1988 Hou, 1989-1992 TB, 1993 Hou"
Drews Ted,OE,Princeton,"1926 Brk, 1928 Chi"
Dreyer Wally,DB/RB,Wisconsin,"1949 Chi, 1950 GB"
Driever Martin,TE,--,"NFLE: 1995-1996 Fra, 1997-1998 Rhe"
Driscoll Jack,OG,Auburn,2020-2023 Phi
Driscoll Paddy,RB/QB,Northwestern,"1920 ChiC, 1920 Dec, 1921-1925 ChiC, 1926-1929 Chi"
Driskel Jeff,QB,Louisiana Tech,"2016,2018 Cin, 2019 Det, 2020 Den, 2021-2022 Hou, 2023 Ari"
Driskill Joe,DB,Northeast Louisiana,1960-1961 Stl
Dritlein Michael,WR,Washburn,NFLE: 1997 Rhe
Driver Donald,WR,Alcorn State,1999-2012 GB
Driver Stacey,RB,Clemson,1987 Cle
Driver Tony,DB,Notre Dame,2001-2002 Buf
Droege Rob,OT,Missouri,NFLE: 2006 Fra
Dronett Shane,DT,Texas,"1992-1995 Den, 1996 Atl, 1996 Det, 1997-2001 Atl"
Droogsma Austin,OG,Florida State,--
Drost Jeff,DT,Iowa,1987 GB
Drougas Tom,OT,Oregon,"1972-1973 Bal, 1974 Den, 1974 KC, 1975-1976 Mia"
Droughns Reuben,RB,Oregon,"2001 Det, 2002-2004 Den, 2005-2006 Cle, 2007-2008 NYG"
Drozdov Darren,DT,Maryland,1993 Den
Druckenmiller Jim,QB,Virginia Tech,1997-1998 SF
Drulis Al,RB/LB,Temple,"1945-1946 ChiC, 1947 Pit"
Drulis Chuck,OG/LB,Temple,"1942,1945-1949 Chi, 1950 GB"
Drummond Dontario,WR,Mississippi,2023 Dal
Drummond Dylan,WR,Eastern Michigan,2023 Det
Drummond Eddie,WR,Penn State,"2002-2006 Det, 2007 KC"
Drummond Kurtis,DB,Michigan State,"2015,2017 Hou"
Drummond Robert,RB,Syracuse,1989-1991 Phi
Drumstead Wop,OG,--,1925 Ham
Drungo Elbert,OT,Tennessee State,"1969-1971,1973-1977 Hou, 1978 Buf"
Drury Hoot,OE,St. Louis,1930-1931 Chi
Druschel Rick,OT,North Carolina State,1974 Pit
Druze John,OE,Fordham,1938 Bkn
Dryer Fred,DE,San Diego State,"1969-1971 NYG, 1972-1981 LA"
Drzewiecki Ron,RB/DB,Marquette,"1955,1957 Chi"
Duarte George,DB,Northern Arizona,1987 Chi
Duarte Thomas,TE,UCLA,2016-2017 Mia
Dubenion Elbert,WR,Bluffton,1960-1968 Buf
Dubinetz Greg,OG,Yale,1979 Was
Dublanko Joel,LB,Cincinnati,--
Dublin Corey,C,Tulane,--
Dublinski Tom,QB,Utah,"1952-1954 Det, 1958 NYG, 1960 Den"
Dubofsky Maury,OG,Georgetown,1932 NYG
Dubois Hasise,WR,Virginia,--
Dubois Marco,WR,Laval,--
DuBois Phil,TE,San Diego State,1979-1980 Was
Dubose B.J.,DE,Louisville,2015 Min
DuBose Demetrius,LB,Notre Dame,1993-1996 TB
DuBose Doug,RB,Nebraska,"1987-1988 SF, NFLE: 1992 Sac"
DuBose Grant,WR,North Carolina-Charlotte,2023 GB
DuBose Jimmy,RB,Florida,1976-1978 TB
DuBose KeJaun,DT,Northwestern,NFLE: 1999 Sco
Dubuisson Mike,DB,Windsor,--
Dubzinski Walt,C/OG,Boston College,"1943 NYG, 1944 BosY"
Ducasse Vlad,OG,Massachusetts,"2010-2013 NYJ, 2014 Min, 2015 Chi, 2016 Bal, 2017-2018 Buf"
Duck Clifton,DB,Appalachian State,--
Duckens Mark,DE,Arizona State,"1989 NYG, 1990 Det, 1992 TB"
Duckett Damane,DT,East Carolina,"2004 Car, 2004-2005 NYG, 2006-2007 SF"
Duckett Forey,DB,Nevada,"1994 Cin, 1994 GB, 1994 Sea, NFLE: 1996 Sco"
Duckett Kenny,WR,Wake Forest,"1982-1985 NO, 1985 Dal"
Duckett T.J.,RB,Michigan State,"2002-2005 Atl, 2006 Was, 2007 Det, 2008 Sea"
Ducksworth Robert,DB,Southern Mississippi,1986 NYJ
Duckworth Aaron,RB,Idaho,--
Duckworth Bobby,WR,Arkansas,"1982-1984 SD, 1985-1986 LA, 1986 Phi"
Duckworth Joe,OE,Colgate,1947 Was
Duckworth Tim,OG,Auburn,2010 Car
Ducote Moon,RB,Auburn,1920 Cle
Ducre Christian,RB,Mississippi State,--
Ducre Greg,DB,Washington,"2014 SD, 2014 Was, 2015 SD"
Duda Mark,DT,Maryland,1983-1987 Stl
Dudek Joe,RB,Plymouth State,1987 Den
Dudek Mitch,OT,Xavier,1966 NYJ
Duden Dick,DE/OE,Navy,1949 NYG
Dudish Andy,RB,Georgia,1948 Det
Dudley Bill,RB/QB,Virginia,"1942,1945-1946 Pit, 1947-1949 Det, 1950-1951,1953 Was"
Dudley Brian,DB,Bethune-Cookman,1987 Cle
Dudley Javarus,WR,Fordham,--
Dudley Kevin,RB,Michigan,2005-2006 Atl
Dudley Paul,RB,Arkansas,"1962 NYG, 1963 Phi"
Dudley Rickey,TE,Ohio State,"1996-2000 Oak, 2001 Cle, 2002-2004 TB"
Duerson Dave,DB,Notre Dame,"1983-1989 Chi, 1990 NYG, 1991-1993 Pho"
Dufault Derek,DL,Manitoba,--
Dufault Paul,C,New Hampshire,1987 LAR
Dufek Don,DB,Michigan,"1976-1977,1979-1984 Sea"
Dufek Joe,QB,Yale,1983-1984 Buf
Duff Bill,DT,Tennessee,"1999 Cle, NFLE: 2000-2002 Ber"
Duff Jamal,DE,San Diego State,"1995 NYG, 1997-1998 Was"
Duff John,DE,New Mexico,1993-1994 LAR
Duff Vontez,DB,Notre Dame,NFLE: 2006 Ham
Dufft Jim,OG/OT,Fordham,"1921 Roc, 1921 NYBG, 1922 Mil"
Duffy Max,P,Kentucky,--
Duffy Pat,RB/BB,Dayton,1929 Day
Duffy Roger,OG,Penn State,"1990-1997 NYJ, 1998-2001 Pit"
Duford Dukes,OE/RB,Marquette,1924 GB
Dufour Dan,OG,UCLA,1983-1984 Atl
Dugan Bill,OG,Penn State,"1981-1983 Sea, 1984 Min, 1987 NYG"
Dugan Fred,OE,Dayton,"1958-1959 SF, 1960 Dal, 1961-1963 Was"
Dugan Jeff,TE,Maryland,2004-2010 Min
Dugan Len,C/LB,Wichita State,"1936 NYG, 1937-1939 ChiC, 1939 Pit"
Dugans Ron,WR,Florida State,2000-2002 Cin
Dugas O'Shea,OG,Louisiana Tech,--
Duggan Eddie,RB,Notre Dame,1921 RI
Duggan Gil,OT,Oklahoma,"1940 NYG, 1942-1943 ChiC, 1944 ChPi, 1945 ChiC"
Duggan Max,QB,Texas Christian,2023 LAC
Dugger Jack,OT/DE,Ohio State,"1947-1948 Det, 1949 Chi"
Dugger Kyle,DB,Lenoir-Rhyne,2020-2023 NE
Duggins Herb,OE,Purdue,1934 ChiC
Duhart Jonathan,WR,Old Dominion,--
Duhart Paul,RB/DB,Florida,"1944 GB, 1945 Pit, 1945 BosY"
Duhart Tommie,DT,Pittsburgh,--
Duhe A.J.,LB,Louisiana State,1977-1984 Mia
Duhon Bobby,RB,Tulane,"1968,1970-1972 NYG"
Duich Steve,OG,San Diego State,"1968 Atl, 1969 Was"
Duke Austin,WR,North Carolina-Charlotte,--
Duke Paul,C/LB,Georgia Tech,--
Duke Wesley,TE,Mercer,"2005 Den, NFLE: 2006 Ham"
Dukes Cameron,QB,Lindsey Wilson,--
Dukes Chad,RB,Pittsburgh,"2000 Was, 2000 Jax"
Dukes Clifford,LB,Michigan State,2005 Stl
Dukes DeVontres,WR,South Florida,--
Dukes Jamie,C,Florida State,"1986-1993 Atl, 1994 GB, 1995 Ari"
Dukes Jeffery,DB,Alabama,--
Dukes Marion,TE,Clemson,--
Dukes Mike,LB,Clemson,"1960-1963 Hou, 1964-1965 Bos, 1965 NYJ"
Dukes Terrance,LB,Grambling,"NFLE: 2003 Rhe, 2003 Bar"
DuLac Bill,OG,Eastern Michigan,1974-1975 NE
Dulaney Mike,RB,North Carolina,"1995-1997 Chi, 1998 Car"
Dulcich Greg,TE,UCLA,2022-2023 Den
Duliban Chris,LB,Texas,1987 Dal
Dulin Ashton,WR,Malone (OH),2019-2023 Ind
Dulin Gary,DE,Ohio State,1986-1987 Stl
Dumas Eric,OL,Maryland,--
Dumas Jameel,LB,Syracuse,"NFLE: 2006 Rhe, 2007 Ber"
Dumas Mike,DB,Indiana,"1991-1992 Hou, 1994 Buf, 1995 Jax, 1997-2000 SD"
Dumas Troy,LB,Nebraska,"1996-1997 KC, 1997 Stl"
Dumbauld Jon,DE,Kentucky,"1986 NO, 1987-1988 Phi, 1988 NO"
Dumervil Elvis,DE,Louisville,"2006-2012 Den, 2013-2016 Bal, 2017 SF"
Dumford Sean,OT,Eastern Kentucky,--
Dumler Doug,C,Nebraska,"1973-1975 NE, 1976-1977 Min"
DuMoe Billy,OE,--,1921 GB
DuMoe Joe,OE,Lafayette,1920-1921 Roc
Dumont Jim,LB,Rutgers,1984 Cle
Dunaway Craig,TE,Michigan,1983 Pit
Dunaway Dave,WR,Duke,"1968 GB, 1968 Atl, 1969 NYG"
Dunaway Jim,DT,Mississippi,"1963-1971 Buf, 1972 Mia"
Dunbar Franklin,OT,Middle Tennessee State,--
Dunbar James,OG,Texas Christian,--
Dunbar Jo-Lonn,LB,Boston College,"2008-2011 NO, 2012-2014 Stl, 2015 NO"
Dunbar Jubilee,WR,Southern,"1973 NO, 1974 Cle"
Dunbar Karl,DT,Louisiana State,"1993 NO, 1994-1995 Ari, NFLE: 1992 Orl, 1995 Rhe"
Dunbar Lance,RB,North Texas,"2012-2016 Dal, 2017 LA"
Dunbar LaTarence,WR,Texas Christian,2003 Atl
Dunbar Quinton,DB,Florida,"2015-2019 Was, 2020 Sea"
Dunbar Steven,WR,Houston,2018 SF
Dunbar Vaughn,RB,Indiana,"1992,1994-1995 NO, 1995 Jax"
Duncan Brian,RB,Southern Methodist,"1976-1977 Cle, 1978 Hou"
Duncan C.J.,WR,Vanderbilt,--
Duncan Caleb,DB,Miles College,--
Duncan Chris,WR,New Mexico State,--
Duncan Clyde,WR,Tennessee,1984-1985 Stl
Duncan Colby,LB,Stetson,--
Duncan Collin,DB,Mississippi State,--
Duncan Curtis,WR,Northwestern,1987-1993 Hou
Duncan Frank,DB,San Francisco State,1979-1981 SD
Duncan Howard,C,Ohio State,1948 Det
Duncan Jaelyn,OT,Maryland,2023 Ten
Duncan Jamie,LB,Vanderbilt,"1998-2001 TB, 2002-2003 Stl, 2004 Atl"
Duncan Jim,DB,Maryland Eastern Shore,1969-1971 Bal
Duncan Jim,DE,Wake Forest,1950-1953 NYG
Duncan Joe Don,RB,Dixie State,--
Duncan Julian,DE,Rice,NFLE: 2001 Rhe
Duncan Ken,P,Tulsa,1971 GB
Duncan Kieren,WR,Colorado State-Pueblo,--
Duncan Maury,QB,San Francisco State,1954-1955 SF
Duncan Paul,OT,Notre Dame,--
Duncan Randy,QB,Iowa,1961 DalT
Duncan Rashaad,DT,Pittsburgh,--
Duncan Rick,P,Eastern Montana,"1967 Den, 1968 Phi, 1969 Det"
Duncan Ron,TE,Wittenberg,1967 Cle
Duncan Speedy,DB,Jackson State,"1964-1970 SD, 1971-1974 Was"
Duncan Tim,K,Oklahoma,"2003 Ari, NFLE: 2006 Col"
Duncan Zipp,OG,Kentucky,--
Duncum Bob,OT,West Texas A&M,1968 Stl
Dunek Ken,TE,Memphis,1980 Phi
Dungey Eric,QB,Syracuse,--
Dungy Tony,DB,Minnesota,"1977-1978 Pit, 1979 SF"
Duniven Tom,QB,Texas Tech,1977 Hou
Dunker Jessamen,OT,Tennessee State,--
Dunkle William,OG,San Diego State,2023 Pit
Dunlap Bob,DB/QB,Oklahoma,"1935 Chi, 1936 NYG"
Dunlap Carlos,DE,Florida,"2010-2020 Cin, 2020-2021 Sea, 2022 KC"
Dunlap Chris,WR,Georgia Tech,--
Dunlap Jaylen,DB,Illinois,--
Dunlap John,WR,North Carolina State,--
Dunlap King,OT,Auburn,"2009-2012 Phi, 2013-2016 SD"
Dunlap Lenny,DB,North Texas,"1971 Bal, 1972-1974 SD, 1975 Det"
Dunlap London,LB,Texas Christian,NFLE: 2001-2002 Sco
Dunlop Josh,OG,Texas-San Antonio,--
Dunn Anthony,DE,Northern Colorado,"2003 Ten, NFLE: 2005 Col"
Dunn Bob,C/OT,New York University,1929 SI
Dunn Brandon,DT,Louisville,"2014-2015 Chi, 2015-2020 Hou"
Dunn Casey,C,Auburn,2018 Was
Dunn Christopher,K,North Carolina State,--
Dunn Coye,RB/DB,Southern California,1943 Was
Dunn Damon,WR,Stanford,"1999 Cle, 2000 NYJ, 2000 Cle, NFLE: 2000 Ber"
Dunn Darion,DB,Texas,--
Dunn David,WR,Fresno State,"1995-1998 Cin, 1998 Pit, 1999 Cle, 2000-2001 Oak"
Dunn Desia,DB,Fresno State,--
Dunn Gary,DT,Miami,"1976,1978-1987 Pit"
Dunn Isaiah,DB,Oregon State,"2021 NYJ, 2022-2023 Sea"
Dunn Jason,TE,Eastern Kentucky,"1996-1998 Phi, 2000-2007 KC"
Dunn Jon,OT,Virginia Tech,NFLE: 2006 Ham
Dunn K.D.,TE,Clemson,"1985-1986 TB, 1987 Was, 1988-1989 NYJ, NFLE: 1991-1992 Mtl"
Dunn Marc,QB,Kansas State,NFLE: 2004 Ber
Dunn Michael,OT,Maryland,2020-2023 Cle
Dunn Paul,RB,U.S. International,1970 Cin
